site,bias,reliability
pbs.org,-1,2
apnews.com,-1,2
reuters.com,-1,2
abc.com,-1,1
abcnews.go.com,-1,1
bbc.co.uk,-1,1
bbc.com,-1,1
npr.org,-1,1
cnn.com,-2,1
wsj.com,1,1
nbc.com,-2,1
nbcnews.com,-2,1
nytimes.com,-2,1
theguardian.com,-2,1
washingtonpost.com,-2,1
vice.com,-2,1
vox.com,-2,1
usatoday.com,-1,1
rasmussenreports.com,2,1
huffpost.com,-2,0
msnbc.com,-2,0
thedailybeast.com,-2,0
newrepublic.com,-3,0
salon.com,-3,0
theweek.com,-2,0
freebeacon.com,2,0
foxnews.com,2,0
reason.com,2,0
dailywire.com,2,0
nypost.com,2,0
nationalreview.com,2,0
theblaze.com,2,0
dailykos.com,-3,-1
wsws.org,-3,-1
tyt.com,-3,-1
distractify.com,-2,-1
bipartisanreport.com,-3,-1
hartmannreport.com,-3,-1
palmerreport.com,-3,-1
veteranstoday.com,-3,-2
dailymail.co.uk,1,-1
dailycaller.com,2,-1
breitbart.com,2,-1
newsmax.com,2,-1
oann.com,2,-1
aclj.org,2,-2
tpusa.com,2,-2
infowars.com,3,-3
